Learning Rate	Train Loss	Train Acc.	Train IOU.	Validate Loss	Validate Acc	Validate IOU	
0.001000	0.319218	0.833331	0.742266	0.355300	0.740440	0.676100	
0.001000	0.321431	0.828729	0.736881	0.632314	0.605525	0.522022	
0.001000	0.317634	0.830648	0.740466	0.327251	0.834805	0.761852	
0.001000	0.315178	0.831418	0.741327	0.913200	0.500000	0.399504	
0.001000	0.314633	0.832924	0.742671	0.335884	0.779852	0.712242	
0.001000	0.316595	0.835529	0.745297	0.435112	0.685134	0.612673	
0.001000	0.324047	0.829383	0.737441	0.961748	0.500000	0.402557	
0.001000	0.321841	0.831629	0.741819	0.904715	0.500000	0.399592	
0.001000	0.315140	0.835023	0.744290	0.326611	0.835622	0.743790	
0.001000	0.316624	0.835078	0.744754	0.418199	0.699803	0.622695	
0.001000	0.317950	0.831399	0.738437	0.376028	0.747472	0.675383	
0.001000	0.319184	0.832129	0.739714	0.887966	0.500000	0.402944	
0.001000	0.325171	0.827798	0.732815	0.876585	0.500757	0.405436	
0.001000	0.315966	0.832868	0.743708	0.419694	0.704221	0.628918	
0.001000	0.319852	0.833458	0.742178	0.895037	0.500000	0.397799	
0.001000	0.318799	0.836110	0.745558	0.410511	0.701047	0.634161	
0.001000	0.322528	0.829568	0.738687	0.313616	0.816028	0.737464	
0.001000	0.318916	0.828696	0.735752	0.619707	0.556370	0.465979	
0.001000	0.317886	0.830464	0.737424	0.630506	0.572444	0.487017	
0.001000	0.319046	0.837013	0.747018	0.532736	0.682606	0.610676	
0.001000	0.322513	0.831379	0.737878	0.328414	0.839366	0.767008	
0.001000	0.317677	0.832395	0.740920	0.919311	0.500000	0.400459	
0.001000	0.313615	0.835218	0.745946	0.935500	0.500000	0.398680	
0.001000	0.322581	0.831507	0.741666	0.365483	0.727853	0.660259	
0.001000	0.316214	0.829027	0.741966	0.335931	0.788164	0.713877	
0.001000	0.313381	0.836006	0.746896	0.662277	0.556811	0.470800	
0.001000	0.322266	0.831096	0.737511	0.311144	0.826825	0.749972	
0.001000	0.314745	0.832353	0.742187	0.337237	0.793367	0.717067	
0.001000	0.319428	0.830135	0.739983	0.406218	0.732786	0.655558	
0.001000	0.320952	0.829370	0.736585	0.552030	0.647140	0.567589	
0.001000	0.326056	0.824513	0.733100	0.326444	0.795939	0.730213	
0.001000	0.321456	0.829318	0.739372	0.541583	0.627507	0.545737	
0.001000	0.320068	0.835800	0.744344	0.393512	0.770987	0.694979	
0.001000	0.321157	0.831248	0.740603	0.317601	0.802437	0.735439	
0.001000	0.319189	0.828800	0.737448	0.404041	0.706066	0.638831	
0.001000	0.320692	0.827544	0.739416	0.360287	0.730390	0.665061	
0.001000	0.320461	0.830504	0.742790	0.322777	0.827825	0.733031	
0.001000	0.322833	0.826251	0.734640	0.496517	0.643795	0.570995	
0.001000	0.313812	0.836555	0.748075	0.352566	0.789761	0.705526	
0.001000	0.313073	0.832797	0.745900	0.443004	0.671668	0.598430	
0.001000	0.325019	0.828700	0.735536	0.435376	0.659462	0.582843	
0.001000	0.316719	0.834422	0.747393	0.878836	0.500758	0.404181	
0.001000	0.321116	0.831522	0.741474	0.305116	0.818495	0.744217	
0.001000	0.320244	0.833473	0.743148	0.322172	0.818136	0.742648	
0.001000	0.318300	0.828143	0.737509	0.331185	0.818490	0.737305	
0.001000	0.313852	0.833973	0.744866	0.344404	0.780573	0.707470	
0.001000	0.320151	0.832554	0.741083	0.965782	0.500000	0.404081	
0.001000	0.316603	0.835604	0.745450	0.336647	0.791167	0.717825	
0.001000	0.313572	0.832932	0.741287	0.381212	0.758449	0.688626	
0.001000	0.312744	0.832399	0.744576	0.735648	0.588667	0.504467	
0.001000	0.321794	0.832546	0.738605	0.818310	0.535388	0.447425	
0.001000	0.318309	0.830581	0.743245	0.497525	0.627370	0.546659	
0.001000	0.317183	0.831078	0.742071	0.782131	0.522683	0.431807	
0.001000	0.321877	0.830485	0.742048	0.700339	0.580083	0.492983	
0.001000	0.320961	0.829078	0.740267	0.897500	0.500001	0.404370	
0.001000	0.318858	0.830978	0.741558	0.796883	0.523916	0.431397	
0.001000	0.314179	0.835900	0.748624	0.459264	0.634110	0.560257	
0.001000	0.315106	0.837582	0.750386	0.572853	0.597197	0.513963	
0.001000	0.319509	0.828523	0.736467	0.477408	0.661544	0.590365	
0.001000	0.314627	0.836571	0.749143	0.454111	0.680682	0.602639	
0.001000	0.317775	0.831807	0.741158	0.313826	0.836276	0.757373	
0.001000	0.314244	0.832956	0.738990	0.707353	0.532536	0.438909	
0.001000	0.316222	0.834786	0.744336	0.768316	0.517192	0.421665	
0.001000	0.315351	0.832497	0.744879	0.332811	0.803741	0.724585	
0.001000	0.317741	0.829768	0.745268	0.679985	0.570031	0.483377	
0.001000	0.316883	0.832025	0.744384	0.723916	0.537114	0.444657	
0.001000	0.317645	0.827822	0.738582	0.340398	0.833578	0.731547	
0.001000	0.312800	0.836646	0.748839	0.350008	0.788028	0.721562	
0.001000	0.313794	0.833740	0.746483	0.422156	0.751807	0.683517	
0.001000	0.321927	0.834488	0.747622	0.351108	0.845023	0.740781	
0.001000	0.315913	0.835052	0.747108	0.385767	0.726400	0.652643	
0.001000	0.315467	0.836311	0.750992	0.340955	0.747962	0.684668	
0.001000	0.314755	0.832437	0.742504	0.325697	0.794785	0.719675	
0.001000	0.317185	0.831343	0.741699	0.892897	0.500000	0.403404	
0.001000	0.316004	0.834432	0.742744	0.345768	0.734106	0.667306	
0.001000	0.317567	0.834604	0.746215	0.871974	0.500000	0.403876	
0.001000	0.314691	0.832804	0.745546	0.417073	0.696803	0.626151	
0.001000	0.318484	0.828487	0.737841	0.894930	0.500000	0.404293	
0.001000	0.314590	0.831850	0.742364	0.346730	0.764294	0.699333	
0.001000	0.315752	0.837518	0.747673	0.399806	0.676731	0.602471	
0.001000	0.319374	0.833964	0.744043	0.529325	0.601950	0.522293	
0.001000	0.318012	0.832605	0.743284	0.459948	0.669730	0.590582	
0.001000	0.315438	0.835865	0.746794	0.349266	0.758499	0.688733	
0.001000	0.311776	0.834146	0.745797	0.879321	0.523045	0.430927	
0.001000	0.311769	0.831324	0.742078	0.915374	0.500000	0.403572	
0.001000	0.315023	0.830956	0.740582	0.329083	0.792442	0.724185	
0.001000	0.316179	0.831391	0.742028	0.373348	0.701228	0.630947	
0.001000	0.315314	0.829594	0.737059	0.443389	0.697794	0.625327	
0.001000	0.316327	0.831089	0.740885	0.306900	0.809602	0.743028	
0.001000	0.312927	0.836096	0.745350	0.914536	0.500000	0.402517	
0.001000	0.317599	0.834210	0.746586	0.325825	0.804659	0.724755	
0.001000	0.317571	0.830456	0.740970	0.344389	0.822070	0.727980	
0.001000	0.321054	0.834637	0.746325	0.322030	0.831008	0.733920	
0.001000	0.314855	0.834121	0.745068	0.940090	0.500000	0.404935	
0.001000	0.314974	0.833113	0.745658	0.893828	0.500000	0.402726	
0.001000	0.319808	0.829424	0.737036	0.528811	0.595613	0.513661	
0.001000	0.327199	0.827314	0.736145	0.314281	0.786776	0.722510	
0.001000	0.322363	0.827240	0.735664	0.329974	0.804619	0.723193	
0.000100	0.288190	0.860164	0.781705	0.288284	0.853431	0.775519	
0.000100	0.281969	0.873189	0.799550	0.287011	0.830952	0.769710	
0.000100	0.275273	0.873238	0.798229	0.290377	0.812858	0.753117	
0.000100	0.272533	0.879118	0.805609	0.278851	0.835713	0.777541	
0.000100	0.269897	0.877419	0.804406	0.284221	0.819746	0.761024	
0.000100	0.271916	0.876316	0.803564	0.281126	0.830842	0.776174	
0.000100	0.265810	0.879464	0.806838	0.281232	0.803995	0.748136	
